Year,Winter,Spring,Summer,Fall
1881,-0.66,-0.23,-0.63,-0.48
1882,-0.05,-0.35,-0.62,-0.27
1883,-0.77,-0.38,0.09,-0.58
1884,-0.45,-0.85,-0.5,-0.65
1885,-0.9,-0.75,-0.56,-0.19
1886,-0.53,-0.63,-0.66,-0.6
1887,-0.98,-0.79,-0.47,-0.72
1888,-0.76,-0.69,-0.45,-0.28
1889,-0.14,0.07,-0.47,-0.37
1890,-0.59,-0.72,-0.63,-0.49
1891,-0.9,-0.6,-0.66,-0.59
1892,-0.35,-0.69,-0.44,-0.52
1893,-1.05,-0.7,-0.43,-0.21
1894,-0.66,-0.61,-0.43,-0.26
1895,-0.59,-0.46,-0.37,-0.16
1896,-0.23,-0.52,-0.39,-0.24
1897,-0.37,-0.26,-0.23,-0.16
1898,-0.3,-0.7,-0.33,-0.34
1899,-0.45,-0.38,-0.41,-0.14
1900,-0.3,-0.2,-0.25,-0.05
1901,-0.17,-0.16,-0.18,-0.13
1902,-0.22,-0.27,-0.47,-0.49
1903,-0.38,-0.41,-0.5,-0.5
1904,-0.76,-0.57,-0.57,-0.45
1905,-0.63,-0.34,-0.36,-0.25
1906,-0.27,-0.18,-0.22,-0.36
1907,-0.49,-0.56,-0.57,-0.46
1908,-0.47,-0.45,-0.43,-0.4
1909,-0.61,-0.58,-0.31,-0.19
1910,-0.48,-0.36,-0.26,-0.33
1911,-0.67,-0.52,-0.27,-0.2
1912,-0.19,-0.31,-0.47,-0.43
1913,-0.45,-0.52,-0.37,-0.23
1914,0.03,-0.1,-0.14,-0.12
1915,-0.13,-0.14,-0.15,-0.04
1916,-0.12,-0.38,-0.35,-0.25
1917,-0.7,-0.72,-0.3,-0.39
1918,-0.73,-0.62,-0.48,-0.16
1919,-0.32,-0.15,-0.13,-0.24
1920,-0.25,-0.25,-0.27,-0.33
1921,-0.24,-0.19,-0.21,-0.19
1922,-0.37,-0.28,-0.21,-0.19
1923,-0.22,-0.36,-0.4,-0.16
1924,-0.29,-0.33,-0.18,-0.11
1925,-0.38,-0.27,-0.33,-0.25
1926,0.21,-0.11,-0.15,-0.05
1927,-0.24,-0.36,-0.21,0.02
1928,-0.08,-0.2,-0.23,0.01
1929,-0.29,-0.41,-0.41,-0.08
1930,-0.34,-0.15,-0.2,-0.1
1931,-0.17,-0.18,0.02,-0.1
1932,0.03,-0.12,-0.3,0.01
1933,-0.27,-0.2,-0.2,-0.19
1934,-0.28,-0.24,-0.04,-0.04
1935,-0.02,-0.28,-0.26,-0.26
1936,-0.3,-0.17,0.01,0
1937,0,-0.15,-0.05,0.24
1938,-0.04,0.18,-0.07,0.16
1939,-0.11,-0.19,-0.17,-0.14
1940,0.05,0.05,0.14,0.09
1941,0.14,-0.01,0.13,-0.07
1942,0.05,-0.02,0.05,0.05
1943,-0.06,-0.11,-0.08,0.12
1944,0.2,-0.03,-0.01,0.12
1945,-0.13,-0.07,-0.13,-0.01
1946,-0.15,-0.06,-0.07,-0.09
1947,-0.15,0.08,-0.02,0.15
1948,-0.06,-0.14,-0.11,-0.07
1949,-0.19,-0.17,-0.14,-0.05
1950,-0.27,-0.17,-0.19,-0.27
1951,-0.36,-0.06,-0.02,0
1952,0.09,-0.14,0,-0.05
1953,0.03,0.06,0.02,0.04
1954,-0.09,-0.15,-0.22,0
